text_clean,sentiment
i have a 3g iphone after 3 hrs tweeting at rise austin it was dead i need to upgrade plugin stations at sxsw,negative
know about awesome ipad iphone app that you'll likely appreciate for its design also they're giving free ts at sxsw,positive
can not wait for ipad 2 also they should sale them down at sxsw,positive
i hope this year's festival isn't as crashy as this year's iphone app sxsw,negative
great stuff on fri sxsw marissa mayer google tim o'reilly tech books conferences amp matt mullenweg wordpress,positive
new ipad apps for speechtherapy and communication are showcased at the sxsw conference iear edchat asd,neutral
sxsw is just starting ctia is around the corner and googleio is only a hop skip and a jump from there good time to be an android fan,positive
beautifully smart and simple idea rt wrote about our hollergram ipad app for sxsw,positive
counting down the days to sxsw plus strong canadian dollar means stock up on apple gear,positive
excited to meet the at sxsw so i can show them my sprint galaxy s still running android 2 1 fail,positive
find amp start impromptu parties at sxsw with i can't wait til the android app comes out,positive
foursquare ups the game just in time for sxsw still prefer by far best looking android app to date,positive
gotta love this sxsw google calendar featuring top parties show cases to check out rt via gt,positive
great sxsw ipad app from,positive
haha awesomely rad ipad app by hollergram sxsw,positive
holler gram for ipad on the itunes app store via sxsw,neutral
i just noticed dst is coming this weekend how many iphone users will be an hour late at sxsw come sunday morning sxsw iphone,negative
just added my sxsw flights to matching people on planes airports also downloaded the iphone app nicely done,positive
must have sxsw app rt lovely review from forbes for our sxsw ipad app holler gram,positive
need to buy an ipad2 while i'm in austin at sxsw not sure if i'll need to q up at an austin apple store,positive
oh my god the sxsw app for ipad is pure unadulterated awesome it's easier to browse events on ipad than on the website,positive
okay this is really it yay new for android app 11 kthxbai sxsw,positive
photo just installed the sxsw iphone app which is really nice,positive
really enjoying the changes in gowalla 3 0 for android looking forward to seeing what else they amp foursquare have up their sleeves at sxsw,positive
rt i'm looking forward to the smcdallas pre sxsw party wed and hoping i'll win an ipad resulting from my shameless promotion chevysmc,positive
rt haha awesomely rad ipad app by hollergram sxsw via,positive
someone started an austin group in google groups pre sxsw great idea,positive
the new 4sq3 looks like it is going to rock update for iphone and android should push tonight sxsw keepaustinweird,positive
they were right the 3 app on android is sweeeeet nice job by the team there sxsw,positive
very smart from hollergram ipad app for sxsw may leave my vuvuzela at home now,positive
you must have this app for your ipad if you are going to sxsw hollergram,positive
attn all sxsw frineds register for gdgtlive and see cobra iradar for android link,neutral
anyone at sxsw want to sell their old ipad,neutral
anyone at sxsw who bought the new ipad want to sell their older ipad to me,neutral
at sxsw oooh rt google to launch major new social network called circles possibly today link,neutral
the best rt ha first in line for ipad2 at sxsw quot pop up quot apple store was an event planner eventprofs pcma engage365,positive
spin play a new concept in music discovery for your ipad from amp spin com link itunes sxsw,neutral
false alarm google circles not coming now and probably not ever link google circles social sxsw,negative
vatornews google and apple force print media to evolve link sxsw,neutral
great weather to greet you for sxsw still need a sweater at night apple putting up quot flash store quot downtown to sell ipad2,positive
hootsuite hootsuite mobile for sxsw updates for iphone blackberry amp android whether you re getting friend link,neutral
hey sxsw how long do you think it takes us to make an iphone case answer using zazzlesxsw and we ll make you one,neutral
mashable the ipad 2 takes over sxsw video ipad sxsw gadgets link,neutral
for i pad rt new ubersocial for iphone now in the app store includes uberguide to sxsw sponsored by link,neutral
ipad2 's smartcover opens to instant access i should have waited to get one link apple sxsw,positive
hand held hobo drafthouse launches hobo with a shotgun iphone app sxsw link,positive
hooray rt apple is opening a pop up store in austin for sxsw link,positive
orly google set to launch new social network circles today at sxsw,neutral
wooooo apple store downtown austin open til midnight sxsw,positive
khoi vinh says conde nast's headlong rush into ipad publishing was a quot fundamental misunderstanding quot of the platform sxsw,neutral
